game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20131129MIATOR,21300230,MIA,TOR,TOR,220,240,28,73,8,30,19,32,10,33,43,16,18,8,17,5,4,83
20131129DALATL,21300231,DAL,ATL,DAL,-125,240,29,77,9,24,20,21,10,34,44,17,21,9,18,4,4,87
20131129DALATL,21300231,DAL,ATL,ATL,105,240,31,73,3,15,23,30,9,34,43,19,16,10,16,4,4,88
20131129CLEBOS,21300232,CLE,BOS,CLE,160,240,32,86,4,18,18,27,13,30,43,13,21,6,17,2,7,86
20131129CLEBOS,21300232,CLE,BOS,BOS,-180,240,38,76,11,23,16,26,8,39,47,26,22,8,17,7,2,103
20131129LALDET,21300233,LAL,DET,LAL,200,240,36,80,14,31,20,30,11,33,44,24,21,11,17,8,3,106
20131129LALDET,21300233,LAL,DET,DET,-240,240,44,100,1,8,13,25,22,33,55,25,22,10,13,3,8,102
20131129BKNHOU,21300234,BKN,HOU,BKN,500,240,37,89,6,22,15,23,15,29,44,24,14,10,11,3,8,95
20131129BKNHOU,21300234,BKN,HOU,HOU,-700,240,39,74,19,32,17,20,7,34,41,31,18,9,16,8,3,114
20131129GSWOKC,21300235,GSW,OKC,GSW,280,265,42,95,8,26,20,29,12,39,51,20,28,4,15,6,9,112
20131129GSWOKC,21300235,GSW,OKC,OKC,-340,265,36,92,6,18,35,42,11,42,53,16,22,8,12,9,6,113
20131129WASIND,21300236,WAS,IND,WAS,500,240,29,73,6,18,9,13,6,31,37,16,12,5,17,10,1,73
20131129WASIND,21300236,WAS,IND,IND,-700,240,38,85,9,22,8,10,14,35,49,27,15,12,16,1,10,93
20131129NOPPHI,21300237,NOP,PHI,NOP,155,240,51,93,8,20,11,14,10,30,40,30,21,13,12,9,4,121
20131129NOPPHI,21300237,NOP,PHI,PHI,-175,240,42,92,12,31,9,21,18,31,49,28,19,6,18,4,9,105
20131129NYKDEN,21300238,NYK,DEN,NYK,320,240,34,83,6,22,21,25,8,34,42,16,24,6,10,6,5,95
20131129NYKDEN,21300238,NYK,DEN,DEN,-400,240,31,71,9,24,26,34,5,39,44,19,23,4,14,5,6,97
20131129PHXUTA,21300239,PHX,UTA,PHX,110,240,41,75,8,25,22,25,6,24,30,18,17,4,8,5,1,112
20131129PHXUTA,21300239,PHX,UTA,UTA,-130,240,40,83,5,20,16,20,13,26,39,21,18,5,11,1,5,101
20131129LACSAC,21300240,LAC,SAC,LAC,-140,265,37,83,6,20,24,37,13,33,46,20,16,4,12,9,5,104
20131129LACSAC,21300240,LAC,SAC,SAC,120,265,42,91,6,23,8,10,12,32,44,24,33,4,15,5,9,98
20131130ATLWAS,21300241,ATL,WAS,ATL,160,240,36,81,7,17,22,26,9,31,40,19,18,7,16,6,5,101
20131130ATLWAS,21300241,ATL,WAS,WAS,-180,240,38,78,12,24,20,30,6,32,38,24,20,12,16,5,6,108
20131130CHICLE,21300242,CHI,CLE,CHI,-200,240,39,82,6,15,9,15,9,27,36,31,22,5,9,4,7,93
20131130CHICLE,21300242,CHI,CLE,CLE,170,240,37,78,7,15,16,19,10,31,41,20,18,5,10,7,4,97
20131130BKNMEM,21300243,BKN,MEM,BKN,260,240,34,73,9,18,20,26,8,31,39,21,10,6,12,4,3,97
20131130BKNMEM,21300243,BKN,MEM,MEM,-320,240,36,77,7,15,9,12,6,27,33,20,19,6,13,3,4,88
20131130MINDAL,21300244,MIN,DAL,MIN,-130,240,40,79,11,26,21,30,14,30,44,24,9,5,14,4,4,112
20131130MINDAL,21300244,MIN,DAL,DAL,110,240,45,92,7,24,9,11,13,24,37,29,26,9,11,4,4,106
20131130HOUSAS,21300245,HOU,SAS,HOU,235,240,40,90,13,30,19,30,12,42,54,24,18,13,16,4,9,112
20131130HOUSAS,21300245,HOU,SAS,SAS,-275,240,44,91,9,26,9,13,4,29,33,27,19,8,15,9,4,106
20131130UTAPHX,21300246,UTA,PHX,UTA,350,240,39,76,9,18,25,29,12,27,39,21,23,6,12,1,3,112
20131130UTAPHX,21300246,UTA,PHX,PHX,-450,240,37,78,12,27,18,25,12,23,35,17,28,8,13,3,1,104
20131130BOSMIL,21300247,BOS,MIL,BOS,-140,240,35,84,4,19,11,15,10,31,41,17,21,7,10,2,8,85
20131130BOSMIL,21300247,BOS,MIL,MIL,120,240,36,78,8,17,12,20,11,38,49,28,16,4,13,8,2,92
20131201DENTOR,21300248,DEN,TOR,DEN,120,240,44,87,10,23,14,19,14,33,47,29,22,10,15,6,6,112
20131201DENTOR,21300248,DEN,TOR,TOR,-140,240,35,87,8,22,20,26,14,28,42,18,20,8,13,6,6,98
20131201INDLAC,21300249,IND,LAC,IND,-120,240,39,89,8,26,19,26,17,33,50,25,25,5,16,4,2,105
20131201INDLAC,21300249,IND,LAC,LAC,100,240,36,82,4,15,24,31,12,29,41,19,23,8,11,2,4,100
20131201PHIDET,21300250,PHI,DET,PHI,320,240,38,88,7,23,17,19,6,35,41,22,27,15,20,7,7,100
