game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20150408WASPHI,21401162,WAS,PHI,PHI,180,240,31,89,9,27,19,27,17,19,36,17,22,11,8,1,8,90
20150408ATLBKN,21401163,ATL,BKN,ATL,160,240,43,86,11,28,17,25,10,30,40,35,18,11,11,4,4,114
20150408ATLBKN,21401163,ATL,BKN,BKN,-180,240,41,87,7,26,22,25,14,33,47,27,20,7,12,4,4,111
20150408BOSDET,21401164,BOS,DET,BOS,-125,240,36,80,8,28,33,34,10,27,37,20,15,12,11,2,5,113
20150408BOSDET,21401164,BOS,DET,DET,105,240,45,84,7,18,6,10,11,30,41,29,25,7,19,5,2,103
20150408INDNYK,21401165,IND,NYK,IND,-800,240,38,77,4,22,22,27,11,43,54,23,24,7,17,4,2,102
20150408INDNYK,21401165,IND,NYK,NYK,600,240,29,84,7,17,21,26,9,25,34,13,25,8,11,2,4,86
20150408NOPMEM,21401166,NOP,MEM,NOP,170,240,28,80,6,21,12,18,12,27,39,13,15,8,12,3,3,74
20150408NOPMEM,21401166,NOP,MEM,MEM,-200,240,45,88,8,17,12,14,14,38,52,27,16,7,8,3,3,110
20150408CLEMIL,21401167,CLE,MIL,CLE,-280,240,36,74,11,34,21,26,11,33,44,23,17,8,18,5,3,104
20150408CLEMIL,21401167,CLE,MIL,MIL,240,240,42,84,6,18,9,13,7,25,32,30,22,13,12,3,5,99
20150408HOUSAS,21401168,HOU,SAS,HOU,240,240,39,84,10,25,10,16,8,31,39,25,12,7,13,3,7,98
20150408HOUSAS,21401168,HOU,SAS,SAS,-280,240,48,95,7,21,7,9,13,34,47,21,13,11,9,7,3,110
20150408LALDEN,21401169,LAL,DEN,LAL,450,240,36,75,5,16,24,35,9,30,39,15,20,7,14,2,6,101
20150408LALDEN,21401169,LAL,DEN,DEN,-600,240,44,88,13,30,18,24,11,34,45,26,22,7,9,6,2,119
20150408SACUTA,21401170,SAC,UTA,SAC,600,240,33,75,7,16,18,28,7,24,31,19,17,9,9,1,8,91
20150408SACUTA,21401170,SAC,UTA,UTA,-900,240,36,74,13,31,18,25,13,34,47,23,22,5,16,8,1,103
20150408PHXDAL,21401171,PHX,DAL,PHX,340,240,40,82,8,25,16,19,8,29,37,22,25,6,12,5,3,104
20150408PHXDAL,21401171,PHX,DAL,DAL,-410,240,45,94,4,18,13,16,15,32,47,18,17,3,8,3,5,107
20150408MINPOR,21401172,MIN,POR,MIN,2000,240,32,85,3,11,24,29,10,25,35,16,17,12,11,2,2,91
20150408MINPOR,21401172,MIN,POR,POR,-9900,240,42,85,12,33,20,23,12,41,53,25,23,8,15,2,2,116
20150409CHIMIA,21401173,CHI,MIA,CHI,110,240,35,91,6,23,13,17,15,36,51,17,11,10,11,2,7,89
20150409CHIMIA,21401173,CHI,MIA,MIA,-130,240,34,88,5,18,5,7,13,33,46,14,17,2,14,7,2,78
20150409PORGSW,21401174,POR,GSW,POR,475,240,46,98,7,24,6,8,11,30,41,28,12,6,9,5,5,105
20150409PORGSW,21401174,POR,GSW,GSW,-650,240,48,90,12,26,8,9,9,35,44,27,12,6,13,5,5,116
20150410TORORL,21401175,TOR,ORL,TOR,-210,240,39,94,9,30,14,15,17,29,46,22,15,8,15,1,4,101
20150410TORORL,21401175,TOR,ORL,ORL,180,240,41,89,7,20,10,10,14,32,46,21,19,11,16,4,1,99
20150410CHAATL,21401176,CHA,ATL,CHA,450,240,30,83,8,30,12,18,12,34,46,21,15,8,13,3,4,80
20150410CHAATL,21401176,CHA,ATL,ATL,-600,240,41,82,10,28,12,16,9,35,44,31,18,10,13,4,3,104
20150410WASBKN,21401177,WAS,BKN,WAS,180,240,32,82,5,15,11,17,17,33,50,23,21,3,17,4,1,80
20150410WASBKN,21401177,WAS,BKN,BKN,-220,240,45,89,12,20,15,23,12,32,44,29,20,10,6,1,4,117
20150410BOSCLE,21401178,BOS,CLE,BOS,200,240,38,84,8,22,15,21,11,32,43,30,24,11,14,2,2,99
20150410BOSCLE,21401178,BOS,CLE,CLE,-240,240,32,77,9,34,17,25,12,30,42,25,21,4,20,2,2,90
20150410INDDET,21401179,IND,DET,IND,-220,240,38,79,11,19,20,22,9,33,42,29,21,6,10,1,5,107
20150410INDDET,21401179,IND,DET,DET,180,240,40,89,11,23,12,23,15,30,45,25,20,5,11,5,1,103
20150410MILNYK,21401180,MIL,NYK,MIL,-800,240,37,76,6,17,19,29,5,28,33,18,22,17,17,3,5,99
20150410MILNYK,21401180,MIL,NYK,NYK,550,240,34,72,5,13,18,24,5,37,42,22,26,7,24,5,3,91
20150410SASHOU,21401181,SAS,HOU,SAS,-165,240,41,85,4,17,18,24,13,27,40,23,35,12,15,3,5,104
20150410SASHOU,21401181,SAS,HOU,HOU,145,240,31,66,9,21,32,53,9,30,39,19,26,9,20,5,3,103
20150410PHXNOP,21401182,PHX,NOP,PHX,350,240,30,85,7,25,8,10,10,33,43,18,18,9,10,4,13,75
20150410PHXNOP,21401182,PHX,NOP,NOP,-450,240,37,84,5,19,11,19,15,41,56,29,12,4,11,13,4,90
20150410SACOKC,21401183,SAC,OKC,SAC,900,240,37,81,9,24,20,28,14,36,50,19,23,4,16,6,4,103
20150410SACOKC,21401183,SAC,OKC,OKC,-1400,240,44,97,10,31,18,24,16,31,47,21,22,8,6,4,6,116
20150410DALDEN,21401184,DAL,DEN,DAL,105,290,57,109,11,29,19,24,11,38,49,39,23,8,17,6,1,144
20150410DALDEN,21401184,DAL,DEN,DEN,-125,290,53,125,15,43,22,25,27,34,61,29,26,10,15,1,6,143
20150410MEMUTA,21401185,MEM,UTA,MEM,-150,240,36,76,5,15,12,19,7,29,36,22,22,8,11,1,3,89
20150410MEMUTA,21401185,MEM,UTA,UTA,130,240,31,71,11,23,15,22,9,30,39,16,22,4,15,3,1,88
20150410MINLAL,21401186,MIN,LAL,MIN,180,240,32,74,3,15,31,34,9,30,39,17,20,7,12,3,2,98
20150410MINLAL,21401186,MIN,LAL,LAL,-220,240,41,83,9,23,15,24,14,32,46,35,22,6,12,2,3,106
20150411NYKORL,21401187,NYK,ORL,NYK,550,240,31,82,6,20,12,13,11,35,46,22,18,3,15,6,4,80
20150411NYKORL,21401187,NYK,ORL,ORL,-800,240,30,84,6,22,13,18,11,38,49,15,18,10,13,4,6,79
20150411TORMIA,21401188,TOR,MIA,TOR,140,240,35,83,9,26,28,37,15,32,47,12,31,7,7,3,8,107
20150411TORMIA,21401188,TOR,MIA,MIA,-160,240,37,81,6,20,24,44,14,33,47,14,25,3,7,8,3,104
20150411PHICHI,21401189,PHI,CHI,PHI,0,240,37,89,13,41,20,25,14,33,47,19,29,5,15,3,5,107
